ID,aroma,acidity,body,uniformity,clean_cup,sweetness,Quality
587,7.75,7.5,7.5,10.0,10.0,10.0,1
362,7.58,7.33,7.0,10.0,10.0,10.0,1
83,7.75,8.0,8.0,10.0,10.0,10.0,1
967,7.42,7.5,7.42,10.0,10.0,10.0,0
742,7.92,8.08,8.08,10.0,10.0,10.0,1
745,7.25,6.83,7.58,8.67,10.0,10.0,0
280,7.75,7.75,8.0,10.0,10.0,10.0,1
712,7.5,7.17,7.33,10.0,10.0,10.0,0
1018,7.67,7.83,7.83,10.0,10.0,7.92,1
932,7.0,7.17,7.17,10.0,10.0,10.0,0
594,7.58,7.58,7.33,10.0,10.0,10.0,1
584,7.67,7.58,7.5,10.0,10.0,10.0,1
876,7.67,7.33,7.58,9.33,10.0,8.67,0
74,7.67,7.83,7.58,10.0,10.0,10.0,1
16,7.67,7.58,8.08,10.0,10.0,10.0,0
430,7.67,7.5,7.67,10.0,10.0,10.0,1
677,7.08,7.33,7.42,10.0,10.0,10.0,0
619,7.83,7.58,7.75,10.0,10.0,10.0,1
383,7.75,7.67,7.58,10.0,10.0,10.0,1
62,7.83,7.33,7.5,10.0,10.0,10.0,1
557,7.58,7.17,7.08,10.0,10.0,10.0,1
910,7.5,7.17,7.5,10.0,10.0,10.0,0
1054,7.75,7.67,7.58,10.0,10.0,10.0,1
976,7.83,7.67,7.5,10.0,10.0,10.0,1
929,7.42,7.5,7.25,10.0,10.0,10.0,0
524,7.5,7.67,7.42,10.0,10.0,10.0,0
762,7.42,7.5,7.33,10.0,10.0,10.0,0
48,7.42,7.58,7.67,10.0,10.0,10.0,1
636,7.67,6.67,7.17,9.33,10.0,6.67,0
874,7.5,7.5,7.42,9.33,10.0,10.0,0
365,8.17,8.0,7.58,10.0,10.0,10.0,1
507,7.58,7.33,7.42,10.0,10.0,10.0,0
249,7.17,7.0,7.0,10.0,10.0,10.0,0
823,7.83,8.0,7.83,10.0,10.0,10.0,1
924,7.58,7.42,7.5,8.0,8.67,9.33,0
540,7.0,7.33,7.42,10.0,10.0,10.0,0
931,7.33,7.42,7.25,10.0,10.0,10.0,0
1029,7.33,7.42,7.33,10.0,10.0,10.0,0
21,7.58,7.75,7.67,10.0,10.0,10.0,1
891,7.25,8.0,7.75,10.0,10.0,10.0,1
88,7.67,7.5,7.5,10.0,10.0,10.0,1
666,7.83,7.92,7.58,10.0,10.0,10.0,1
195,7.08,7.83,7.75,10.0,10.0,10.0,1
977,7.5,7.5,7.67,10.0,10.0,10.0,1
450,8.0,7.75,7.75,10.0,10.0,10.0,1
169,7.17,7.25,7.5,10.0,10.0,10.0,0
884,7.25,7.5,7.08,10.0,10.0,10.0,0
410,7.58,7.33,7.5,10.0,10.0,10.0,0
623,8.0,7.58,7.33,10.0,10.0,10.0,0
625,7.42,7.58,7.58,10.0,10.0,10.0,0
420,8.17,7.67,8.08,9.33,9.33,9.33,1
1020,7.42,7.67,7.33,10.0,10.0,10.0,0
452,7.58,7.5,7.83,10.0,10.0,10.0,1
861,7.25,7.25,7.17,9.33,10.0,10.0,0
841,7.25,7.42,7.5,10.0,10.0,10.0,0
926,7.5,7.58,7.42,10.0,10.0,10.0,1
489,7.67,7.33,7.75,10.0,10.0,10.0,0
693,7.75,7.58,7.5,10.0,10.0,10.0,1
235,7.83,7.92,7.83,10.0,10.0,10.0,1
510,7.33,7.08,7.42,10.0,10.0,10.0,0
927,7.58,7.67,7.58,8.0,10.0,10.0,1
854,7.42,7.08,6.92,7.33,10.0,10.0,0
908,7.58,7.58,7.5,10.0,10.0,10.0,0
673,7.58,8.0,7.58,10.0,10.0,10.0,1
800,7.58,7.75,7.67,10.0,10.0,10.0,1
645,7.33,7.5,7.5,10.0,10.0,10.0,0
848,7.67,7.33,7.58,10.0,10.0,10.0,1
371,7.67,7.5,7.58,10.0,10.0,10.0,1
87,7.42,7.5,7.33,10.0,10.0,10.0,0
604,7.67,7.33,7.5,10.0,10.0,10.0,0
657,7.58,7.33,7.67,9.33,9.33,9.33,0
198,7.33,7.08,7.17,9.33,10.0,10.0,0
152,7.5,7.5,7.5,10.0,10.0,10.0,1
882,7.67,7.67,7.5,10.0,10.0,10.0,1
314,7.5,7.33,7.75,10.0,10.0,10.0,0
643,7.42,7.33,7.42,10.0,10.0,10.0,0
1033,7.42,7.5,7.33,10.0,10.0,10.0,0
621,7.58,7.58,7.58,10.0,10.0,10.0,1
735,7.25,7.75,8.17,10.0,10.0,9.33,1
523,8.17,7.75,8.33,10.0,10.0,10.0,1
598,7.25,7.83,7.67,9.33,10.0,10.0,1
33,7.67,7.42,7.5,10.0,10.0,10.0,0
445,7.67,7.67,7.42,10.0,10.0,10.0,0
462,6.92,6.92,7.42,6.0,6.0,10.0,0
889,7.67,7.75,7.67,10.0,10.0,10.0,1
144,7.92,7.92,7.67,10.0,10.0,10.0,1
460,8.67,8.75,8.5,10.0,10.0,10.0,1
790,7.75,7.42,8.08,10.0,10.0,10.0,1
962,7.5,7.5,7.83,10.0,10.0,10.0,1
536,7.83,7.17,7.08,10.0,10.0,10.0,0
650,7.75,7.75,7.92,10.0,10.0,10.0,1
593,7.33,7.42,7.17,10.0,10.0,10.0,0
868,7.67,7.75,7.58,10.0,10.0,10.0,1
406,7.75,7.58,7.67,10.0,10.0,7.67,0
451,6.75,6.67,7.08,9.33,6.0,6.0,0
578,7.92,7.67,7.67,10.0,10.0,10.0,1
820,7.83,8.17,8.17,10.0,10.0,10.0,1
638,7.33,7.42,7.75,10.0,10.0,10.0,1
267,7.67,7.75,7.5,10.0,10.0,10.0,0
691,7.75,7.5,7.5,10.0,10.0,10.0,1
809,7.25,7.5,7.33,9.33,10.0,10.0,0
4,7.67,7.33,7.67,10.0,10.0,10.0,1
5,7.25,7.25,7.0,10.0,10.0,10.0,0
552,7.92,7.83,7.5,10.0,10.0,10.0,1
470,7.5,7.83,7.58,10.0,10.0,10.0,1
215,8.58,8.5,8.25,10.0,10.0,10.0,1
223,7.33,7.42,7.25,10.0,10.0,10.0,0
695,7.42,7.33,7.25,10.0,10.0,10.0,1
370,7.42,7.42,7.42,10.0,10.0,10.0,0
466,7.83,7.83,7.83,9.33,10.0,10.0,1
283,7.92,7.92,7.75,10.0,10.0,10.0,1
572,7.42,7.33,7.17,10.0,10.0,10.0,0
332,7.75,8.08,7.75,9.33,9.33,9.33,1
81,7.83,7.67,7.58,10.0,10.0,10.0,1
1049,7.67,7.67,7.5,10.0,10.0,10.0,1
846,6.75,6.83,6.92,9.33,9.33,6.67,0
761,7.67,7.67,7.5,10.0,10.0,10.0,0
644,7.42,7.42,7.25,10.0,10.0,10.0,0
948,7.58,7.67,7.75,10.0,10.0,10.0,1
393,7.67,7.58,7.33,10.0,2.67,10.0,0
1006,7.5,7.5,7.33,10.0,10.0,10.0,1
312,7.5,7.33,7.33,10.0,10.0,10.0,0
719,7.25,7.33,7.25,10.0,10.0,10.0,0
656,7.83,7.25,7.58,10.0,10.0,10.0,0
102,7.83,7.67,7.67,10.0,10.0,10.0,1
205,7.33,7.5,7.58,10.0,10.0,10.0,0
844,7.17,7.0,7.17,10.0,10.0,10.0,0
726,7.67,7.5,7.5,10.0,10.0,9.33,1
68,7.58,7.5,7.08,8.67,10.0,10.0,0
210,7.67,7.67,7.67,10.0,10.0,10.0,1
560,7.5,7.83,7.75,10.0,10.0,10.0,1
812,7.42,7.75,8.08,8.67,8.67,8.67,1
747,7.67,5.25,7.67,10.0,10.0,10.0,1
827,7.58,7.58,7.67,10.0,10.0,10.0,1
344,7.67,7.83,7.58,10.0,10.0,10.0,1
1070,7.0,7.5,7.5,10.0,10.0,10.0,0
989,7.67,7.08,7.0,10.0,10.0,10.0,0
363,7.58,7.33,7.33,10.0,10.0,10.0,0
49,8.17,7.75,7.67,10.0,10.0,10.0,1
194,7.83,7.67,7.5,10.0,10.0,7.75,0
627,7.08,7.25,7.42,10.0,10.0,10.0,0
493,7.67,7.58,7.67,10.0,10.0,10.0,1
855,8.67,8.42,8.33,9.33,10.0,9.33,1
333,8.0,7.92,7.75,10.0,10.0,10.0,1
287,7.58,7.33,7.33,10.0,10.0,10.0,0
869,7.92,7.58,7.42,10.0,10.0,10.0,1
109,7.0,7.0,7.0,10.0,10.0,10.0,0
180,6.92,7.25,7.17,10.0,10.0,10.0,0
798,7.92,7.67,7.67,10.0,10.0,10.0,1
160,8.25,8.33,8.17,10.0,6.67,10.0,1
159,6.75,7.17,7.0,8.0,10.0,10.0,0
26,7.58,7.58,7.75,10.0,10.0,10.0,1
218,7.75,7.25,7.08,10.0,10.0,10.0,0
116,7.67,7.42,7.83,10.0,10.0,10.0,1
225,7.67,7.67,7.5,10.0,10.0,10.0,0
997,7.42,7.17,7.08,10.0,10.0,10.0,1
257,8.42,8.5,8.25,10.0,10.0,10.0,1
660,7.33,7.33,7.25,9.33,10.0,10.0,0
442,7.92,7.67,7.5,10.0,10.0,10.0,1
457,7.33,7.08,7.33,9.33,9.33,9.33,0
878,7.75,7.58,7.58,10.0,10.0,10.0,1
414,7.58,7.83,7.42,10.0,10.0,7.42,0
232,7.25,7.33,7.42,9.33,10.0,10.0,0
694,7.67,7.75,7.83,10.0,10.0,10.0,1
352,7.42,7.17,7.25,10.0,10.0,10.0,0
554,7.25,7.0,7.0,10.0,10.0,10.0,0
58,6.83,6.92,7.5,10.0,10.0,10.0,0
321,8.0,8.08,7.83,10.0,10.0,10.0,1
43,7.83,7.67,7.92,9.33,10.0,9.33,1
769,8.17,8.17,8.08,10.0,10.0,10.0,1
1016,7.0,7.5,7.42,10.0,10.0,10.0,1
39,7.92,7.75,7.67,10.0,10.0,10.0,1
434,7.92,7.58,7.33,8.0,8.0,8.0,0
358,7.33,7.33,7.5,10.0,10.0,10.0,0
629,7.83,7.92,8.25,10.0,10.0,8.0,1
413,7.58,7.17,7.33,8.0,10.0,10.0,0
310,7.58,7.83,7.92,10.0,10.0,10.0,1
483,7.83,7.5,7.58,10.0,10.0,10.0,1
852,7.67,7.67,7.5,10.0,10.0,10.0,1
727,7.42,7.58,7.33,10.0,10.0,10.0,0
864,7.92,6.75,7.92,10.0,10.0,9.33,1
266,7.58,7.5,7.5,10.0,10.0,10.0,0
84,7.33,7.42,7.25,10.0,10.0,10.0,0
380,7.58,7.25,7.75,9.33,10.0,9.33,1
778,7.5,7.42,7.5,10.0,10.0,10.0,0
805,7.33,7.17,7.25,10.0,10.0,10.0,0
182,7.67,8.0,8.17,10.0,10.0,10.0,1
500,7.67,7.33,7.17,10.0,10.0,10.0,0
563,7.75,7.75,7.75,10.0,10.0,10.0,1
1059,7.42,7.42,7.33,10.0,10.0,10.0,0
518,7.67,7.75,7.67,10.0,10.0,10.0,1
830,7.58,7.75,7.5,9.33,10.0,10.0,1
522,7.75,7.83,7.58,10.0,10.0,10.0,1
197,7.75,7.83,7.5,10.0,10.0,10.0,1
705,7.92,7.75,7.75,10.0,10.0,10.0,1
52,7.92,7.58,7.25,10.0,10.0,10.0,0
100,7.42,7.25,7.25,10.0,10.0,10.0,0
164,7.17,7.42,7.25,10.0,10.0,10.0,0
689,7.42,8.0,7.58,9.33,9.33,10.0,1
385,7.67,7.75,7.67,10.0,10.0,10.0,1
330,7.42,7.0,7.33,9.33,10.0,10.0,0
92,7.92,7.67,8.17,10.0,10.0,10.0,0
947,7.83,7.83,7.5,10.0,10.0,10.0,1
412,7.33,7.33,7.5,10.0,10.0,10.0,1
121,7.42,7.33,7.5,10.0,10.0,10.0,0
663,6.83,7.17,7.5,10.0,10.0,10.0,0
702,7.17,7.58,7.33,10.0,9.33,10.0,0
474,7.42,7.42,7.5,10.0,10.0,10.0,1
339,6.75,6.83,7.58,10.0,10.0,10.0,0
298,7.83,7.75,7.83,10.0,10.0,10.0,1
432,7.25,7.42,7.33,10.0,10.0,10.0,0
259,6.83,7.08,6.92,10.0,10.0,10.0,0
478,7.5,7.42,7.42,10.0,10.0,10.0,0
541,7.58,7.67,7.58,10.0,10.0,10.0,1
588,8.08,8.08,7.83,10.0,10.0,10.0,1
485,7.67,7.67,8.0,10.0,10.0,10.0,1
170,7.42,7.42,7.33,10.0,10.0,10.0,0
859,7.67,7.75,7.92,10.0,10.0,10.0,1
42,7.42,7.17,7.08,9.33,8.67,10.0,0
703,7.08,7.58,7.17,10.0,10.0,10.0,0
275,7.92,7.83,7.92,10.0,10.0,10.0,1
288,7.67,7.58,7.67,10.0,10.0,10.0,1
953,7.17,7.25,7.33,10.0,10.0,10.0,0
506,7.33,7.5,7.0,10.0,10.0,10.0,0
535,7.5,7.5,7.42,10.0,10.0,10.0,0
179,7.5,7.17,7.25,10.0,10.0,10.0,0
912,7.25,7.0,7.17,10.0,10.0,10.0,0
1000,7.58,7.67,7.5,10.0,10.0,10.0,1
530,7.0,6.83,7.08,10.0,6.67,10.0,0
428,7.5,7.58,7.67,10.0,10.0,10.0,0
60,8.0,7.25,7.67,10.0,10.0,10.0,1
120,7.75,7.83,7.17,10.0,10.0,10.0,1
829,8.0,8.0,7.75,10.0,10.0,7.75,1
667,7.33,7.08,7.33,10.0,10.0,10.0,0
28,7.5,7.67,7.67,10.0,10.0,10.0,1
517,8.08,7.83,7.67,10.0,10.0,10.0,1
308,7.5,7.0,7.17,8.0,8.0,10.0,0
236,7.42,7.33,7.42,10.0,10.0,9.33,1
973,7.83,7.83,7.83,10.0,10.0,10.0,1
187,7.75,7.83,7.75,10.0,10.0,10.0,1
913,7.58,7.67,7.75,10.0,10.0,10.0,0
37,7.33,7.08,8.33,10.0,10.0,9.33,1
616,7.67,7.83,7.33,10.0,10.0,10.0,1
213,7.67,7.75,7.67,10.0,10.0,10.0,0
998,7.75,7.58,7.75,10.0,10.0,10.0,1
585,7.5,7.83,7.67,10.0,10.0,10.0,1
528,7.17,7.17,7.0,10.0,10.0,10.0,0
196,8.17,8.42,8.5,10.0,10.0,10.0,1
1044,7.75,7.5,7.75,10.0,10.0,10.0,1
640,7.5,7.42,7.5,10.0,10.0,10.0,0
543,7.58,7.58,7.75,9.33,10.0,10.0,1
19,8.17,8.5,7.75,10.0,10.0,10.0,1
512,7.42,7.5,7.33,10.0,10.0,10.0,0
156,7.67,7.67,7.92,10.0,10.0,10.0,1
449,7.5,7.75,5.17,10.0,10.0,8.42,0
377,7.58,7.42,7.33,10.0,10.0,10.0,0
175,7.42,7.5,7.33,10.0,10.0,10.0,0
214,7.5,7.08,7.58,10.0,10.0,10.0,0
189,7.25,7.0,7.25,10.0,10.0,10.0,0
985,8.25,8.25,8.58,9.33,10.0,9.33,1
707,7.33,7.58,7.42,10.0,10.0,10.0,0
781,7.75,7.75,7.5,10.0,10.0,10.0,1
1009,7.42,7.92,7.75,8.67,9.33,8.67,1
1032,7.33,7.08,7.08,10.0,10.0,10.0,0
549,7.58,7.33,7.58,10.0,10.0,10.0,1
349,7.58,7.67,7.5,9.33,9.33,10.0,0
966,7.75,7.33,7.58,10.0,10.0,10.0,0
143,7.75,7.42,8.0,10.0,10.0,10.0,1
672,7.83,7.42,7.67,10.0,6.67,10.0,0
151,7.58,7.75,7.75,10.0,10.0,10.0,1
264,8.42,8.17,7.83,10.0,10.0,10.0,1
409,7.25,7.0,7.0,8.0,8.0,10.0,0
221,7.5,7.5,7.5,10.0,10.0,10.0,1
961,7.33,7.5,7.5,10.0,10.0,10.0,0
247,7.58,7.58,7.42,10.0,10.0,10.0,0
193,7.25,7.25,7.17,10.0,10.0,10.0,0
246,7.25,7.25,7.33,10.0,10.0,10.0,0
439,7.33,7.33,7.5,10.0,10.0,10.0,0
577,7.58,7.67,7.83,9.33,9.33,9.33,1
397,7.75,7.5,7.33,10.0,10.0,10.0,1
777,7.58,7.5,7.58,10.0,10.0,10.0,1
516,7.75,7.92,7.67,10.0,10.0,10.0,1
335,7.42,7.42,7.42,10.0,10.0,10.0,0
124,8.0,8.0,7.92,10.0,10.0,10.0,1
403,7.5,7.17,7.5,6.67,10.0,10.0,0
1036,7.0,6.5,6.67,8.0,8.0,8.0,0
93,7.67,7.67,7.42,10.0,10.0,10.0,0
367,7.92,8.33,7.75,10.0,10.0,10.0,1
676,7.75,7.58,7.58,10.0,10.0,10.0,1
54,8.0,7.75,7.58,10.0,10.0,10.0,1
836,7.5,7.58,7.33,10.0,10.0,10.0,0
407,7.58,7.58,7.5,10.0,10.0,10.0,1
1013,7.58,7.25,6.75,10.0,10.0,10.0,0
433,7.5,7.25,7.5,10.0,10.0,10.0,0
934,7.17,7.42,7.08,10.0,10.0,10.0,0
898,7.75,7.83,7.58,10.0,10.0,10.0,1
802,7.58,7.5,7.5,8.67,8.67,10.0,1
440,7.75,7.75,7.83,10.0,10.0,10.0,1
674,7.5,7.5,7.5,10.0,10.0,10.0,0
791,7.42,7.17,7.25,10.0,10.0,10.0,0
815,7.58,7.33,7.25,10.0,10.0,10.0,0
514,8.0,7.58,7.92,10.0,10.0,10.0,1
596,7.5,7.5,7.67,10.0,10.0,10.0,1
988,7.33,7.58,7.25,10.0,10.0,10.0,1
527,7.42,7.5,7.75,10.0,10.0,10.0,1
983,7.5,7.5,7.58,10.0,10.0,10.0,1
229,7.17,7.17,7.42,8.67,7.33,10.0,0
361,7.25,7.08,7.08,10.0,10.0,10.0,0
825,7.75,7.5,7.5,10.0,10.0,10.0,0
491,7.92,7.25,7.83,9.33,10.0,10.0,1
387,7.83,7.92,7.67,10.0,10.0,10.0,1
789,8.17,8.33,8.42,9.33,10.0,9.33,1
317,7.67,7.67,7.5,10.0,10.0,9.33,1
681,7.42,7.17,7.25,9.33,9.33,7.08,0
499,7.42,7.75,7.42,10.0,10.0,10.0,0
111,7.58,7.58,7.33,10.0,10.0,10.0,0
372,7.58,7.5,7.5,10.0,10.0,10.0,0
163,7.5,7.5,7.42,10.0,10.0,10.0,0
628,7.83,8.0,7.83,10.0,6.67,10.0,1
381,6.92,6.92,7.17,10.0,2.67,10.0,0
250,7.42,7.33,7.42,10.0,10.0,10.0,0
219,7.67,7.42,7.58,10.0,10.0,10.0,0
804,7.5,7.58,7.75,10.0,10.0,10.0,1
842,7.5,7.25,7.5,10.0,10.0,10.0,0
595,8.0,8.17,7.92,10.0,10.0,10.0,1
513,7.5,7.75,7.33,9.33,10.0,10.0,1
885,7.5,7.67,7.5,10.0,10.0,10.0,1
357,8.17,8.08,7.83,10.0,10.0,10.0,1
545,7.58,7.58,7.42,10.0,10.0,10.0,1
978,7.5,7.75,7.33,10.0,10.0,10.0,1
382,7.92,7.92,7.75,10.0,10.0,10.0,1
185,7.42,7.08,7.25,10.0,10.0,10.0,1
168,7.33,7.33,6.83,10.0,10.0,10.0,0
765,7.5,7.5,7.58,10.0,10.0,10.0,1
1050,7.33,7.42,7.5,8.67,9.33,9.33,0
639,7.83,7.58,7.58,10.0,10.0,10.0,1
91,7.67,7.75,7.75,10.0,10.0,10.0,1
936,7.33,7.25,7.33,9.33,10.0,10.0,0
797,7.75,7.83,7.17,10.0,10.0,10.0,1
95,7.58,7.58,7.42,10.0,10.0,10.0,1
473,7.5,7.67,7.58,10.0,10.0,10.0,1
525,7.67,7.58,8.0,10.0,10.0,10.0,1
832,7.75,7.67,7.42,10.0,10.0,10.0,0
964,7.25,7.17,7.25,10.0,10.0,10.0,0
290,7.67,7.58,7.33,10.0,10.0,10.0,0
1,7.58,7.58,7.5,10.0,9.33,10.0,0
46,7.75,7.0,7.33,10.0,10.0,10.0,0
957,7.33,7.42,7.58,10.0,10.0,10.0,0
617,7.58,7.42,7.67,10.0,10.0,10.0,1
734,7.75,7.67,5.25,10.0,10.0,10.0,1
40,6.92,7.42,7.17,10.0,10.0,10.0,0
833,7.42,7.58,7.17,10.0,10.0,10.0,0
110,7.67,8.0,7.67,10.0,10.0,10.0,1
1056,7.67,7.67,7.67,10.0,10.0,10.0,1
425,7.67,7.67,7.5,10.0,10.0,6.67,1
431,7.33,7.25,7.0,10.0,10.0,10.0,0
586,7.5,7.5,7.75,10.0,10.0,10.0,1
935,8.08,7.42,7.33,10.0,10.0,10.0,1
751,7.17,7.17,7.25,9.33,9.33,10.0,0
532,7.75,7.75,7.58,10.0,10.0,10.0,1
564,7.5,7.42,7.25,10.0,10.0,10.0,0
329,7.75,7.58,7.42,10.0,10.0,10.0,1
808,8.33,7.75,8.5,10.0,10.0,10.0,1
248,7.67,7.42,7.58,10.0,10.0,10.0,0
547,7.42,7.25,7.5,10.0,10.0,10.0,0
1012,7.42,7.25,7.25,10.0,10.0,10.0,0
448,7.33,7.25,7.42,10.0,10.0,10.0,0
146,7.83,7.67,7.5,10.0,10.0,9.33,1
145,7.5,7.75,7.67,10.0,10.0,10.0,0
601,7.5,7.33,7.33,10.0,10.0,10.0,0
375,6.92,7.42,7.25,10.0,10.0,10.0,0
255,7.58,7.83,7.42,10.0,10.0,10.0,1
1004,7.83,7.83,7.67,10.0,10.0,10.0,1
817,7.83,7.83,7.75,10.0,10.0,10.0,1
35,7.83,7.67,7.58,9.33,10.0,10.0,1
18,7.08,7.25,7.5,10.0,10.0,10.0,0
508,7.33,7.92,7.67,10.0,10.0,10.0,1
7,8.17,7.75,7.67,10.0,10.0,10.0,1
108,7.42,7.25,7.25,10.0,10.0,10.0,0
921,7.5,7.58,7.42,10.0,10.0,10.0,1
834,7.25,7.17,7.33,10.0,10.0,10.0,0
429,7.67,7.75,7.92,10.0,10.0,10.0,1
22,7.67,7.5,7.83,10.0,10.0,9.33,1
951,7.67,7.42,7.67,10.0,10.0,10.0,1
1039,7.75,7.75,7.5,10.0,10.0,10.0,1
131,7.67,7.67,7.67,10.0,10.0,10.0,1
465,7.5,7.25,7.25,10.0,10.0,10.0,0
728,7.58,7.17,7.5,10.0,10.0,10.0,0
1063,7.42,7.33,7.0,9.33,9.33,9.33,0
975,7.5,7.83,7.83,10.0,10.0,10.0,1
612,8.0,7.17,7.67,9.33,10.0,10.0,1
546,7.75,7.83,7.75,10.0,10.0,10.0,1
122,7.58,7.75,7.58,10.0,10.0,10.0,1
286,8.33,8.0,7.75,10.0,10.0,10.0,1
945,7.5,7.42,7.42,10.0,10.0,10.0,0
611,7.25,7.17,7.33,10.0,10.0,10.0,0
974,7.58,7.92,7.5,10.0,10.0,10.0,1
220,7.5,7.58,7.33,10.0,10.0,10.0,0
828,7.08,7.0,7.17,10.0,10.0,10.0,0
784,7.83,7.33,7.67,9.33,10.0,9.33,1
883,8.0,7.83,7.5,10.0,10.0,10.0,1
57,7.67,7.5,7.75,10.0,10.0,7.75,1
999,7.5,7.42,7.5,9.33,10.0,10.0,0
277,8.0,8.08,7.83,10.0,10.0,10.0,1
521,7.25,7.25,7.17,10.0,10.0,10.0,0
801,7.25,6.83,7.33,10.0,10.0,10.0,0
295,7.75,7.33,7.67,9.33,9.33,8.67,0
480,7.58,7.25,8.0,10.0,10.0,10.0,1
609,8.25,8.33,8.08,10.0,10.0,10.0,1
1065,7.92,7.92,7.75,10.0,10.0,10.0,1
374,7.67,7.67,7.67,10.0,10.0,10.0,1
234,7.33,7.17,7.83,10.0,10.0,10.0,0
157,7.67,7.67,7.33,10.0,10.0,10.0,1
322,7.25,7.25,7.25,10.0,10.0,10.0,0
96,7.42,7.58,7.33,10.0,10.0,10.0,0
606,7.25,6.75,7.17,10.0,10.0,10.0,0
253,7.75,7.92,7.75,9.33,10.0,10.0,1
811,7.33,7.5,7.67,10.0,10.0,10.0,1
503,7.58,7.75,7.5,10.0,10.0,10.0,0
941,7.25,7.25,7.25,10.0,10.0,10.0,0
348,7.67,7.42,8.0,10.0,10.0,10.0,1
562,7.42,7.67,7.92,8.67,5.33,9.33,1
942,7.83,7.83,7.75,9.33,9.33,9.33,1
991,7.67,7.42,7.58,10.0,10.0,10.0,0
1038,7.75,7.33,7.33,10.0,10.0,10.0,0
897,7.42,7.5,7.42,10.0,10.0,10.0,0
209,7.92,7.42,7.42,10.0,10.0,10.0,1
